,smiles,paragraphText,namerxndef,yield,product,reactant,agent,solvent,product_name,reactant_name,agent_name,solvent_name
10,[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][OH:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[O:23][CH3:24])[CH3:25])[CH3:26]>O=[Cr](=O)=O.c1ccncc1>[CH3:25][c:5]1[c:4]([c:3]([c:8]([c:7]([c:6]1[O:23][CH3:24])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14][C:15](=O)[OH:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[CH3:9])[O:2][CH3:1])[CH3:26],"A 2.40 g (4.0 x 6 mmole) quantity of thoroughly dried chromium trioxide was carefully added little by little to anhydrous pyridine at 15 to 20°C under stirring, and an orange to yellow mush-like solution was prepared. A solution of 1.42 g (4.0 mmole) of 6-(2,5-dimethoxy-3,4,6-trimethyl-phenyl)-6-phenylhexan-1-ol in pyridine (10 ml) was added to the solution, followed by stirring at room temperature overnight (16 hours). The reaction solution was poured into ice-cold water, and the product was extracted with dichloromethane. The dichloromethane layer was separated out, and evaporated. Isopropyl ether and 1 N hydrochloric acid were added to the residue to effect extraction, and the isopropyl ether layer was separated out, washed with aqueous sodium chloride solution and then admixed with 0.5N NaOH (50 ml) to allow the product to pass into the aqueous phase. The aqueous phase was separated out and made acid by adding a 10% aqueous phosphoric acid solution, and the carboxylic acid was extracted with isopropyl ether. The isopropyl ether layer was separated out, washed with aqueous sodium chloride solution, dried (magnesium sulfate) and evaporated. The residue was chromatographed on a silica gel column to perform purification (elution with isopropyl ether) to thereby give 1.07 g (72%) of 6-(2,5-dimethoxy-3,4,6-trimethylphenyl)-6-phenylhexanoic acid. Its typical physical properties and nuclear magnetic resonance spectrum data are shown in Table 14.",Jones acid oxidation,[72.0],['COc1c(C)c(C)c(OC)c(C(CCCCC(=O)O)c2ccccc2)c1C'],['COc1c(C)c(C)c(OC)c(C(CCCCCO)c2ccccc2)c1C'],"['O=[Cr](=O)=O', 'c1ccncc1']",['c1ccncc1'],"['6-(2,5-dimethoxy-3,4,6-trimethylphenyl)-6-phenylhexanoic acid']","['6-(2,5-dimethoxy-3,4,6-trimethyl-phenyl)-6-phenylhexan-1-ol']","['chromium trioxide', 'pyridine']",['pyridine']
11,[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14][C:15]#[C:16][CH2:17][CH2:18][OH:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[O:26][CH3:27])[CH3:28])[CH3:29]>CCO.[Pd]>[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][OH:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[O:26][CH3:27])[CH3:28])[CH3:29],"5% Palladium-carbon (0.2 g) was added to a solution of 1.970 g (5.0 mmole) of 9-(2,5-dimethoxy-3,4,6-trimethylphenyl)-9-phenyl-3-nonyn-1-ol in ethanol (20 ml), and catalytic reduction was conducted at room temperature for 2 hours. The catalyst was filtered out, and the ethanol was distilled off under reduced pressure. The residue was chromatographed on a silica gel column to perform purification (elution with isopropyl ether) to thereby give 1.97 g (99%) of 9-(2,5-dimethoxy-3,4,6-trimethylphenyl)-9-phenylnonanol. Its typical physical properties and nuclear magnetic resonance spectrum data are shown in Table 14.",Alkyne to alkane hydrogenation,[99.0],['COc1c(C)c(C)c(OC)c(C(CCCCCCCCO)c2ccccc2)c1C'],['COc1c(C)c(C)c(OC)c(C(CCCCC#CCCO)c2ccccc2)c1C'],['[Pd]'],['CCO'],"['9-(2,5-dimethoxy-3,4,6-trimethylphenyl)-9-phenylnonanol']","['9-(2,5-dimethoxy-3,4,6-trimethylphenyl)-9-phenyl-3-nonyn-1-ol']",['Palladium-carbon'],['ethanol']
12,[CH3:1][c:2]1[c:3]([c:4]([c:5]([c:6]([c:7]1[O:8][CH3:9])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14]I)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[CH3:21])[O:22][CH3:23])[CH3:24].[CH3:25][CH2:26][O:27][C:28](=[O:29])[CH:30]([CH3:31])[CH3:32]>CC(C)OC(C)C.CC(C)NC(C)C.CCCCCC.C1CCOC1.[CH2]CCC.Cl[Na].Cl.[Li]>[CH3:24][c:3]1[c:2]([c:7]([c:6]([c:5]([c:4]1[O:22][CH3:23])[CH3:21])[CH:10]([CH2:11][CH2:12][CH2:13][CH2:14][C:30]([CH3:31])([CH3:32])[C:28](=[O:29])[O:27][CH2:26][CH3:25])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[O:8][CH3:9])[CH3:1] |f:4.6.9|,"A 2.1 ml (3.0 x 1.1 mmole) portion of n-butyllithium hexane solution was added dropwise to a solution of 0.5 ml (3.0 x 1.2 mmole) of diisopropylamine in anhydrous tetrahydrofuran (5 ml) under an atmosphere of argon at -20°C over the period of 5 minutes, followed by stirring at -20 to -5°C for 10 minutes. The mixed solution was cooled at -20°C and a solution of 0.38 g (3.0 x 1.1 mmole) of ethyl isobutyrate in tetrahydrofuran (4 ml) was added dropwise to it over the period of 5 minutes, followed by stirring at -20 to -5°C for 20 minutes. A solution of 1.36 g (3.0 mmole) of 1-iodo-5-(2,5-dimethoxy-3,4,6-trimethylphenyl)-5-phenylpentane in tetrahydrofuran (14 ml) was added dropwise to the mixed solution over the period of 5 minutes, followed by stirring at -20 to -10°C for 1.5 hours. After the reaction solution was cooled with ice, the reaction was suspended by adding 1 N hydrochloric acid, and isopropyl ether and sodium chloride were added to extract the product. The organic layer was separated out, washed with aqueous saturated sodium chloride solution, dried (magnesium sulfate) and evaporated. The residual solution was chromatographed on a silica gel column to perform purification (elution with hexane/isopropyl ether) to thereby give 1.20 g (91%) of ethyl 7-(2,5-dimethoxy-3,4,6-trimethylphenyl)-2,2-dimethyl-7-phenyl- heptanoate. Its typical physical properties and nuclear magnetic resonance spectrum data are shown in Table 14.",Keto alpha-alkylation,[91.0],['CCOC(=O)C(C)(C)CCCCC(c1ccccc1)c1c(C)c(OC)c(C)c(C)c1OC'],"['CCOC(=O)C(C)C', 'COc1c(C)c(C)c(OC)c(C(CCCCI)c2ccccc2)c1C']","['CC(C)OC(C)C', 'CCCCCC.[CH2]CCC.[Li]', 'Cl', '[Na]Cl']","['C1CCOC1', 'C1CCOC1', 'C1CCOC1', 'CC(C)NC(C)C']","['ethyl 7-(2,5-dimethoxy-3,4,6-trimethylphenyl)-2,2-dimethyl-7-phenyl- heptanoate']","['ethyl isobutyrate', '1-iodo-5-(2,5-dimethoxy-3,4,6-trimethylphenyl)-5-phenylpentane']","['n-butyllithium hexane', 'isopropyl ether', 'sodium chloride', '1 N hydrochloric acid']","['diisopropylamine', 'tetrahydrofuran', 'tetrahydrofuran', 'tetrahydrofuran']"
13,[CH3:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]([cH:16][cH:17]1)-[n:18]1[cH:19][cH:20][n:21][cH:22]1>[Na+].CO.CC(C)=O.[BH4-]>[CH3:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH:10]([OH:11])[c:12]1[cH:13][cH:14][c:15]([cH:16][cH:17]1)-[n:18]1[cH:19][cH:20][n:21][cH:22]1 |f:1.4|,"In methanol (90 ml) was dissolved 9.00 g (30 mmole) methyl 6-[4-(1-imidazolyl)benzoyllhexanoate, and the solution was stirred under ice-cooling. 0.86 g (30 x 0.75 mmole) of sodium boron hydride was added to it, and stirring was continued for 30 minutes under ice-cooling. After acetone was added, the solvent was distilled off, and chloroform and water were added to the residue to effect extraction. The chloroform layer was separated out, washed with aqueous sodium chloride solution, dried (magnesium sulfate) and evaporated to give 9.10 g (100%) of methyl 7-hydroxy-7-[4-(1-imidazolyl)phenyl]heptanoate (part of the compound was recrystallized from ethyl acetate/isopropyl ether. m.p. 77-78°C).",Ketone to alcohol reduction,[100.0],['COC(=O)CCCCCC(O)c1ccc(-n2ccnc2)cc1'],['COC(=O)CCCCCC(=O)c1ccc(-n2ccnc2)cc1'],"['CC(C)=O', '[BH4-].[Na+]']",['CO'],['methyl 7-hydroxy-7-[4-(1-imidazolyl)phenyl]heptanoate'],['methyl 6-[4-(1-imidazolyl)benzoyllhexanoate'],"['sodium boron hydride', 'acetone']",['methanol']
14,[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][CH2:6][P+](c1ccccc1)(c1ccccc1)c1ccccc1.[CH3:7][O:8][C:9]1=[C:10]([CH2:11][C:12]([C:13](=[C:14]1[CH3:15])[CH3:16])([O:17][CH3:18])[CH:19]([CH3:20])[CH2:21][CH:22]=O)[CH3:23].[Br-]>C1CCOC1.CS(C)=O.O[Na].O>[CH3:7][O:8][C:9]1=[C:10]([CH2:11][C:12]([C:13](=[C:14]1[CH3:15])[CH3:16])([O:17][CH3:18])[CH:19]([CH3:20])[CH2:21][CH:22]=[CH:6][CH2:5][CH2:4][C:2](=[O:1])[OH:3])[CH3:23] |f:0.2|,"DMSO (30 ml) was added to sodium hydroxide (1 g, 24 mmole, 60% oil suspension was washed with hexane and dried under reduced pressure) under an atmosphere of argon, followed by heating at 80°C for 1 hour with stirring. After cooling, 3-carboxypropyltriphenyl phosphonium bromide (4.6 g, 11 mmole) was added to the solution, followed by stirring at room temperature. After stirring for 10 minutes, a THF solution (5 ml) of 3-(3,5,6-trimethyl-1,4-dimethoxyphenyl)butanal (2.7 g, 11 mmole) was added dropwise to the mixed solution. The reaction solution was stirred at room temperature for 2 hours, and water (50 ml) was added to it. The organic layer was washed with toluene (100 ml), and the water layer was adjusted to pH 4 with 2N hydrochloric acid, followed by extraction with IPE. The organic layer was washed with water, dried and concentrated under reduced pressure, and the crude product was purified by silica gel column chromatography (eluting solution: IPE) to give 7-(1,4-dimethoxy-3,5,6-trimethylphenyl)-4-octenoic acid (2.2 g, 68%). 5 8.80 (1 H, COOH), 5.38 (2H, m), 3.63 (3H, 2), 3.60 (3H, s), 3.25 (1 H, s), 2.40 (6H, m), 2.25 (3H, s), 2.15 (6H, s), 1.30 (3H, d, 7Hz).",Wittig olefination,[68.0],['COC1=C(C)CC(OC)(C(C)CC=CCCC(=O)O)C(C)=C1C'],"['COC1=C(C)CC(OC)(C(C)CC=O)C(C)=C1C', 'O=C(O)CCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]']",['O[Na]'],"['C1CCOC1', 'CS(C)=O', 'O']","['7-(1,4-dimethoxy-3,5,6-trimethylphenyl)-4-octenoic acid']","['3-carboxypropyltriphenyl phosphonium bromide', '3-(3,5,6-trimethyl-1,4-dimethoxyphenyl)butanal']",['sodium hydroxide'],"['DMSO', 'water', 'THF']"
15,[CH3:1][NH:2][C@@H:3]([CH2:4][C:5](=[O:6])OCc1ccccc1)[C:7](=[O:8])[O:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>O.Cl.CCOCC.CC(C)(C)[Mg]Cl.N#N.C1CCOC1>[CH3:1][N:2]1[C:5]([CH2:4][C@H:3]1[C:7](=[O:8])[O:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[O:6] |f:1.2|,"In 20 ml of dry ether was dissolved 1.73 g of compound (10) and 6.4 ml of a 0.828 mol solution of t-butyl magnesium chloride was gradually added to the solution at -10 to 0°C under an N2 atmosphere. After stirring for 1 hour at the same temperature, the reaction mixture was allowed to stand at room temperature overnight. Dry THF, 10 ml, was added to the reaction mixture. After stirring at room temperature for 1 hour, the reaction mixture was cooled to 0°C and 10.6 ml of 1 N-hydrochloric acid was added thereto to separate the organic layer. The aqueous layer was extracted twice with 10 ml of ether. The organic layers were combined and washed with a saturated sodium chloride aqueous solution. After drying, the solvent was removed by distillation under reduced pressure. The residue was subjected to column chromatography using 50 ml of silica gel (Wakogel C-200). Elution with ethyl acetate-n-hexane (1:1) gave 155.3 mg of (S)-benzyl 1-methyl-4-oxo-2-azetidinecarboxylate (11) as a yellow oil.",Carboxylic ester + amine reaction,[13.447],['CN1C(=O)C[C@H]1C(=O)OCc1ccccc1'],['CN[C@@H](CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1'],"['C1CCOC1', 'CC(C)(C)[Mg]Cl', 'Cl.O']",['CCOCC'],['(S)-benzyl 1-methyl-4-oxo-2-azetidinecarboxylate'],['dibenzyl L-N-methylaspartate'],"['t-butyl magnesium chloride', 'THF', 'hydrochloric acid']",['ether']
16,[CH3:1][N:2]1[C:3]([CH2:4][C@H:5]1[C:6](=[O:7])[O:8]Cc1ccccc1)=[O:9]>CO.[Pd].[H][H]>[CH3:1][N:2]1[C:3]([CH2:4][C@H:5]1[C:6](=[O:7])[OH:8])=[O:9],In 10 ml of methanol was dissolved 450 mg of compound (11) and 45 mg of 10% Pd-C was added to the solution followed by catalytic hydrogenation at ambient temperature under an atmospheric pressure of hydrogen. The catalyst was filtered off and the solvent was removed by distillation under reduced pressure to obtain 258 mg of (S)-1-methyl-4-oxo-2-azetidinecarboxylic acid (12).,CO2H-Bn deprotection,[97.561],['CN1C(=O)C[C@H]1C(=O)O'],['CN1C(=O)C[C@H]1C(=O)OCc1ccccc1'],"['[H][H]', '[Pd]']",['CO'],['(S)-1-methyl-4-oxo-2-azetidinecarboxylic acid'],['(S)-benzyl 1-methyl-4-oxo-2-azetidinecarboxylate'],"['hydrogen', 'Pd-C']",['methanol']
17,Br[CH2:1][CH2:2][O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH2:10]1[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]1>CCO.O=C(O[K])O[K]>[cH:7]1[cH:8][cH:9][c:4]([cH:5][cH:6]1)[O:3][CH2:2][CH2:1][N:13]1[CH2:14][CH2:15][CH2:10][CH2:11][CH2:12]1,"A mixture of 20 g of 2-phenoxyethyl bromide thus obtained, 7.92 g of piperidine and 12.86 g of potassium carbonate was added into 100 ml of ethyl alcohol and stirred for 6 hours at 100°C. The reaction mixture was filtered and condensed under reduced pressure to give 18.4 g of 1-(2-phenoxyethyl)piperidine having a boiling point of 111°C to 112°C at 7 mmHg in a yield of 90%.",Bromo N-alkylation,[90.0],['c1ccc(OCCN2CCCCC2)cc1'],"['BrCCOc1ccccc1', 'C1CCNCC1']",['O=C(O[K])O[K]'],['CCO'],['1-(2-phenoxyethyl)piperidine'],"['2-phenoxyethyl bromide', 'piperidine']",['potassium carbonate'],['ethyl alcohol']
18,Cc1ccc(cc1)S(=O)(=O)O[CH:1]([CH3:2])[CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1>CCOCC.CO.ClC(Cl)Cl>[CH3:2][CH:1]([CH2:3][CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[N:15]1[CH2:14][CH2:13][CH2:12][CH2:17][CH2:16]1,"In a sealed tube, 10 g of the 4-phenoxy-2-butyl tosylate was reacted with 11.2 g of piperidine in 60 ml of absolute methyl alcohol for one hour at 125°C. After the reaction solution was condensed under reduced pressure, 100 ml of diethyl ether was added into the solution, and then the solution was separated into the diethyl ether solution and 20% aqueous sodium hydroxide solution. After the ether layer was dried over anhydrous sodium sulfate, ether was removed under reduced pressure therefrom. The residue thus obtained was subjected to an alumina-column chromatography using chloroform as the developing solvent to give 5.46 g of 1-(1-methyl-3-phenoxypropyl)piperidine in a yield of 75%.",Tosyloxy N-alkylation,[75.0],['CC(CCOc1ccccc1)N1CCCCC1'],"['C1CCNCC1', 'Cc1ccc(S(=O)(=O)OC(C)CCOc2ccccc2)cc1']",['ClC(Cl)Cl'],"['CCOCC', 'CO']",['1-(1-methyl-3-phenoxypropyl)piperidine'],"['4-phenoxy-2-butyl tosylate', 'piperidine']",['chloroform'],"['diethyl ether', 'methyl alcohol']"
19,[NH2:1][c:2]1[n:3][nH:4][c:5]2[cH:6][cH:7][cH:8][c:9]([c:10]21)[Cl:11].[O:12]=[C:13]1O[C:14]([c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]12)=[O:21]>C1COCCO1.CCOCC.O>[O:12]=[C:13]1[c:20]2[cH:19][cH:18][cH:17][cH:16][c:15]2[C:14]([N:1]1[c:2]1[n:3][nH:4][c:5]2[cH:6][cH:7][cH:8][c:9]([c:10]21)[Cl:11])=[O:21],"To 50 ml of dioxane were added 5.66 g of 3-amino-4-chloroindazole thus obtained and 6.68 g of phthalic anhydride, and the mixture was stirred for 5 hours at 120°C. After the mixture was condensed under reduced pressure, the condensed residue was added with 30 ml of diethyl ether and stirred under cooling with ice and water for 30 minutes to separate crystals. Then the crystals were obtained by filtration and dried under reduced pressure to give 9.96 g of 3-phthalimido-4-chloroindazole having the following analytical values in a yield of 89%.","2,5-Pyrroledione synthesis",[89.0],['O=C1c2ccccc2C(=O)N1c1n[nH]c2cccc(Cl)c12'],"['Nc1n[nH]c2cccc(Cl)c12', 'O=C1OC(=O)c2ccccc21']",['O'],"['C1COCCO1', 'CCOCC']",['3-phthalimido-4-chloroindazole'],"['3-amino-4-chloroindazole', 'phthalic anhydride']",['water'],"['dioxane', 'diethyl ether']"
20,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[N:18]1C(c2ccccc2C1=O)=O>O.O.CCO.NN>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[NH2:18] |f:1.4|,"To 70 ml of ethyl alcohol was added 3.30 g of 1-(3-diethylaminopropyl)-3-phthalimidoindazole. The mixture was added with 2.50 g of 85% hydrazine hydrate under cooling with ice and stirred for 3 hours under cooling with ice. The reaction mixture was filtered and the filtrate was condensed under reduced pressure. The condensed residue was added with 20 ml of water and the reaction product was extracted with chloroform. The chloroform layer was extracted with 2N-hydrochloric acid and the pH of the hydrochloric acid layer was adjusted to 10 with potassium carbonate. The alkali layer was extracted with chloroform. The chloroform layer was dried over anhydrous sodium sulfate, and chloroform was removed under reduced pressure to give 1.78 g of 1-(3-diethylaminopropyl)-3-aminoindazole having the following analytical values in a yield of 85%.",N-Phth deprotection,[85.0],['CCN(CC)CCCn1nc(N)c2ccccc21'],['CCN(CC)CCCn1nc(N2C(=O)c3ccccc3C2=O)c2ccccc21'],['NN.O'],"['CCO', 'O']",['1-(3-diethylaminopropyl)-3-aminoindazole'],['1-(3-diethylaminopropyl)-3-phthalimidoindazole'],['hydrazine hydrate'],"['ethyl alcohol', 'water']"
21,"[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[NH2:18].[NH3:19].O>O=S(=O)(O)O.[O-][N+](=O)O.ClC(Cl)Cl.O.O.Cl.[Fe]>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][c:14]([cH:15][cH:16][c:17]21)[NH2:19])[NH2:18] |f:1.2,7.8|","In 2.58 ml of sulfuric acid was dissolved 1.5 g of 1-(3-diethylaminopropyl)-3-aminoindazole, and to the solution were added dropwise 0.41 ml of nitric acid (d-1.42) and 0.41 ml of sulfuric acid (sp. gr. 1.84) under cooling with ice. The solution was stirred for 2 hours at 5-10°C and then added to 12.1 ml of ice and water. The pH of the solution was adjusted to at least 11 with aqueous ammonia solution and the solution was extracted with chloroform. The chloroform layer was dried with anhydrous sodium sulfate and chloroform was removed under reduced pressure. In 50 ml of anhydrous benzene was disolved with the residue obtained. To the solution were added 10 g of iron powder and 2 ml of hydrochloric acid, and the solution was stirred for 30 minutes at 80°C. The solution was further added with 0.5 ml of water and stirred for 10 hours at 80°C. After cooling the solution, the solution was filtered and the benzene layer obtained as the filtrate was extracted three times with 20 ml of 1 N-hydrochloric acid. The pH of the hydrochloric acid layer was adjusted to at least 11 with potassium carbonate, and the alkali layer was extracted with chloroform. The chloroform layer was dried with anhydrous sodium sulfate, and chloroform was removed under reduced pressure. The residue thus obtained was subjected to an alumina-column chromatography (alumina: 100 g) using chloroform as the developing solvent to give 0.65 g of 1-(3-diethylaminopropyl]-3,5-diaminoindazole having the following analytical values in a yield of 41%.",Amination,[41.0],['CCN(CC)CCCn1nc(N)c2cc(N)ccc21'],['CCN(CC)CCCn1nc(N)c2ccccc21'],"['ClC(Cl)Cl', 'O', '[Fe]']","['Cl.O', 'N.O', 'O', 'O', 'O=S(=O)(O)O', 'O=S(=O)(O)O', 'O=[N+]([O-])O']","['1-(3-diethylaminopropyl]-3,5-diaminoindazole']",['1-(3-diethylaminopropyl)-3-aminoindazole'],"['water', 'iron powder', 'chloroform']","['nitric acid', 'ice', 'hydrochloric acid', 'water', 'sulfuric acid', 'aqueous ammonia', 'sulfuric acid']"
22,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][c:14]([cH:15][c:16]([c:17]21)[N+:18]([O-])=O)[N+:19]([O-])=O)[NH2:20]>O.O.Cl.CO.ClC(Cl)Cl.[Fe]>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][CH2:8][n:9]1[n:10][c:11]([c:12]2[cH:13][c:14]([cH:15][c:16]([c:17]21)[NH2:18])[NH2:19])[NH2:20] |f:2.3|,"A mixture consisting of 9.0 g of 1-(3-diethylaminopropyl)-3-amino-5,7-dinitroindazole, 18 g of iron powder, 60 ml of methyl alcohol, 30 ml of water and 3 ml of hydrochloric acid was stirred for 1.5 hours at 70°C. After the reaction mixture was cooled, the mixture was filtered. The pH of the filtrate was adjusted to 11 with an aqueous potassium carbonate solution and the filtrate was extracted three times with 50 ml of ethyl acetate. The ethyl acetate layer was washed with water and dried over anhydrous sodium sulfate, and ethyl acetate was removed under reduced pressure. The residue thus obtained was subjected to an alumina-column chromatography (alumina: 200 g) using chloroform as the developing solvent to give 1.78 g of 1-(3-diethylaminopropyl)-3,5,7-triaminoindazole having the following analytical values in a yield of 23%.",Nitro to amino,[23.0],['CCN(CC)CCCn1nc(N)c2cc(N)cc(N)c21'],['CCN(CC)CCCn1nc(N)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c21'],"['ClC(Cl)Cl', '[Fe]']","['CO', 'Cl.O', 'O']","['1-(3-diethylaminopropyl)-3,5,7-triaminoindazole']","['1-(3-diethylaminopropyl)-3-amino-5,7-dinitroindazole']","['iron powder', 'chloroform']","['methyl alcohol', 'water', 'hydrochloric acid']"
23,[OH2:1].[CH3:2][CH2:3][N:4]([CH2:5][CH3:6])[CH2:7][CH2:8][CH2:9][NH:10][c:11]1[n:12][nH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([c:19]12)Cl>CCOCC.CC(C)Br.O=O.O=C=O.O=S(=O)(O)O.[Mg]>[CH3:2][CH2:3][N:4]([CH2:5][CH3:6])[CH2:7][CH2:8][CH2:9][NH:10][c:11]1[n:12][nH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([c:19]12)[OH:1],"To 20 ml of diethyl ether solution containing 600 mg of magnesium powder was added dropwise a mixed solution consisting of 2.81 g of the 3-(3-diethylaminopropylamino)-4-chloroindazole, 2.06 g of isopropyl bromide and 20 ml of diethyl ether. Into the solution were introduced dried oxygen gas and dried carbon dioxide gas for 10 hours so as to reflux the solution, and the solution was left to stand for 12 hours. The pH of the solution was adjusted to 4.0 by adding dropwise sulfuric acid to the solution at 0°C. The solution was added with 50 ml of water and filtered. To the aqueous layer of the filtrate was added an aqueous potassium carbonate solution to separate crystals. The crystals were obtained by filtration and dried to give 1.08 g of 3-(3-diethylaminopropylamino)-4-hydroxyindazole having the following analytical values in a yield of 41 %.",Chloro to hydroxy,[41.0],['CCN(CC)CCCNc1n[nH]c2cccc(O)c12'],['CCN(CC)CCCNc1n[nH]c2cccc(Cl)c12'],"['CC(C)Br', 'O=C=O', 'O=O', 'O=S(=O)(O)O', '[Mg]']","['CCOCC', 'CCOCC', 'O']",['3-(3-diethylaminopropylamino)-4-hydroxyindazole'],['3-(3-diethylaminopropylamino)-4-chloroindazole'],"['magnesium', 'isopropyl bromide', 'oxygen', 'carbon dioxide', 'sulfuric acid']","['water', 'diethyl ether', 'diethyl ether']"
24,[OH2:1].[CH3:2][CH2:3][N:4]([CH2:5][CH3:6])[CH2:7][CH2:8][CH2:9][NH:10][c:11]1[n:12][n:13]([c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12)[CH2:20][CH2:21][CH2:22][N:23]([CH2:24][CH3:25])[CH2:26][CH3:27]>O=S(=O)(O)O.O[K]>[CH3:25][CH2:24][N:23]([CH2:26][CH3:27])[CH2:22][CH2:21][CH2:20][n:13]1[n:12][c:11]([c:19]2[cH:18][c:17]([cH:16][cH:15][c:14]21)[OH:1])[NH:10][CH2:9][CH2:8][CH2:7][N:4]([CH2:3][CH3:2])[CH2:5][CH3:6],"A mixture consisting of 14.1 g of the 1-(3-diethylaminopropyl)-3-(3-diethylaminopropylamino)indazole and 4.3 g of 95% by weight sulfuric acid was stirred for 3 hours at 80°C. To the mixture was added 13 ml of water, and the pH of the mixture was adjusted to 14 with potassium hydroxide. After the mixture was washed twice with 20 ml of chloroform, water was removed under reduced pressure. To the residue were added 12.5 g of potassium hydroxide and 0.6 ml of water, and the mixture was stirred for 8 hours at 250°C. After cooling, to the mixture was added hydrochloric acid to separate crystals. The crystals were obtained by filtration and dried to give 6.28 g of 1-(3-diethylaminopropyl)-3-(3-diethylaminopropylamino)-5-hydroxyindazole having the following analytical values in a yield of 40%.",Hydroxylation,[40.0],['CCN(CC)CCCNc1nn(CCCN(CC)CC)c2ccc(O)cc12'],['CCN(CC)CCCNc1nn(CCCN(CC)CC)c2ccccc12'],"['O=S(=O)(O)O', 'O[K]']",['O'],['1-(3-diethylaminopropyl)-3-(3-diethylaminopropylamino)-5-hydroxyindazole'],['1-(3-diethylaminopropyl)-3-(3-diethylaminopropylamino)indazole'],"['sulfuric acid', 'potassium hydroxide']",['water']
